scale,event_type,budget_sec,algorithm,n_rows,solved_rate,objective_mean,objective_std,objective_median,makespan_mean,makespan_std,latency_p95_mean
L,rush_job,0.1,LNS,5,1.000000,239.369105,8.211496,235.435124,239.369105,8.211496,0.156220
L,rush_job,0.1,MOEA-NSGA2,5,1.000000,212.632458,8.315984,212.262578,212.632458,8.315984,0.956961
L,rush_job,0.1,MOR,5,1.000000,213.526372,17.065316,211.776469,213.526372,17.065316,0.000020
L,rush_job,0.1,MachineRank,5,1.000000,213.318076,23.626953,206.048214,213.318076,23.626953,0.000274
L,rush_job,0.1,SA,5,1.000000,247.336636,27.887144,256.810300,247.336636,27.887144,0.155819
L,rush_job,0.5,B-CORE,5,1.000000,156.794004,6.588074,154.354225,156.794004,6.588074,0.000518
L,rush_job,0.5,B-CORE-no-bottleneck,5,1.000000,167.094553,4.270706,167.056539,167.094553,4.270706,0.000506
L,rush_job,0.5,B-CORE-no-graph,5,1.000000,156.794004,6.588074,154.354225,156.794004,6.588074,0.000447
L,rush_job,0.5,DCGA,5,1.000000,224.388503,12.407755,221.286839,224.388503,12.407755,0.565426
L,rush_job,0.5,GA,5,1.000000,216.051881,4.920273,217.081957,216.051881,4.920273,0.555892
L,rush_job,0.5,LNS,5,1.000000,225.418358,13.245453,232.036032,225.418358,13.245453,0.557202
L,rush_job,0.5,MOEA-NSGA2,5,1.000000,212.632458,8.315984,212.262578,212.632458,8.315984,0.980055
L,rush_job,0.5,MOR,5,1.000000,213.526372,17.065316,211.776469,213.526372,17.065316,0.000016
L,rush_job,0.5,MachineRank,5,1.000000,213.318076,23.626953,206.048214,213.318076,23.626953,0.000269
L,rush_job,0.5,SA,5,1.000000,236.772667,21.316805,243.435388,236.772667,21.316805,0.556219
L,rush_job,1.0,B-CORE,5,1.000000,156.794004,6.588074,154.354225,156.794004,6.588074,0.000493
L,rush_job,1.0,B-CORE-no-bottleneck,5,1.000000,167.094553,4.270706,167.056539,167.094553,4.270706,0.000481
L,rush_job,1.0,B-CORE-no-graph,5,1.000000,156.794004,6.588074,154.354225,156.794004,6.588074,0.000559
L,rush_job,1.0,DCGA,5,1.000000,216.394458,8.109859,216.947432,216.394458,8.109859,1.061105
L,rush_job,1.0,GA,5,1.000000,213.907632,6.897372,213.433578,213.907632,6.897372,1.060330
