scale,event_type,instance_seed,budget_sec,best_algorithm,best_objective,best_status
M,breakdown,42,10.0,GA,70.707647,solved
M,breakdown,42,5.0,GA,77.317209,solved
M,breakdown,43,0.1,B-CORE-no-bottleneck,77.279019,solved
M,breakdown,43,0.5,B-CORE-no-bottleneck,77.279019,solved
M,breakdown,43,1.0,B-CORE-no-bottleneck,77.279019,solved
M,breakdown,43,10.0,B-CORE-no-bottleneck,77.279019,solved
M,breakdown,43,5.0,B-CORE-no-bottleneck,77.279019,solved
M,breakdown,44,0.1,B-CORE-no-bottleneck,74.313041,solved
M,breakdown,44,0.5,B-CORE-no-bottleneck,74.313041,solved
M,breakdown,44,1.0,B-CORE-no-bottleneck,74.313041,solved
M,breakdown,44,10.0,MOEA-NSGA2,71.720383,solved
M,breakdown,44,5.0,B-CORE-no-bottleneck,74.313041,solved
M,breakdown,45,0.1,B-CORE,70.391156,solved
M,breakdown,45,0.5,DCGA,66.801026,solved
M,breakdown,45,1.0,DCGA,67.682248,solved
M,breakdown,45,10.0,DCGA,60.404255,solved
M,breakdown,45,5.0,LNS,63.074415,solved
M,breakdown,46,0.1,B-CORE,80.546750,solved
M,breakdown,46,0.5,B-CORE,80.546750,solved
M,breakdown,46,1.0,MOEA-NSGA2,75.528566,solved
M,breakdown,46,10.0,DCGA,71.927288,solved
M,breakdown,46,5.0,DCGA,71.927288,solved
M,mixed,42,0.1,B-CORE-no-bottleneck,75.586466,solved
M,mixed,42,0.5,B-CORE-no-bottleneck,75.586466,solved
M,mixed,42,1.0,DCGA,71.517468,solved
M,mixed,42,10.0,DCGA,66.011810,solved
M,mixed,42,5.0,DCGA,73.736524,solved
M,mixed,43,0.1,B-CORE-no-bottleneck,75.528266,solved
M,mixed,43,0.5,B-CORE-no-bottleneck,75.528266,solved
M,mixed,43,1.0,B-CORE-no-bottleneck,75.528266,solved
M,mixed,43,10.0,DCGA,71.335369,solved
M,mixed,43,5.0,LNS,74.198984,solved
M,mixed,44,0.1,B-CORE,68.507587,solved
M,mixed,44,0.5,DCGA,67.924869,solved
M,mixed,44,1.0,DCGA,67.482294,solved
M,mixed,44,10.0,GA,59.691160,solved
M,mixed,44,5.0,GA,64.500396,solved
M,mixed,45,0.1,B-CORE,72.616860,solved
M,mixed,45,0.5,B-CORE,72.616860,solved
M,mixed,45,1.0,B-CORE,72.616860,solved
M,mixed,45,10.0,B-CORE,72.616860,solved
M,mixed,45,5.0,B-CORE,72.616860,solved
M,mixed,46,0.1,B-CORE,77.839603,solved
M,mixed,46,0.5,B-CORE,77.839603,solved
M,mixed,46,1.0,DCGA,75.197757,solved
M,mixed,46,10.0,GA,67.587282,solved
M,mixed,46,5.0,DCGA,69.981017,solved
M,rush_job,42,0.1,B-CORE-no-bottleneck,84.639603,solved
M,rush_job,42,0.5,B-CORE-no-bottleneck,84.639603,solved
