scale,event_type,budget_sec,algorithm,mean_makespan,mean_p95_latency,mean_objective
L,rush_job,10.0,MOEA-NSGA2,197.113815,10.060844,197.113815
L,rush_job,10.0,MOR,213.526372,0.000018,213.526372
L,rush_job,10.0,MachineRank,213.318076,0.000293,213.318076
L,rush_job,10.0,SA,211.379793,10.053153,211.379793
L,rush_job,5.0,B-CORE,156.794004,0.000486,156.794004
L,rush_job,5.0,B-CORE-no-bottleneck,167.094553,0.000461,167.094553
L,rush_job,5.0,B-CORE-no-graph,156.794004,0.000523,156.794004
L,rush_job,5.0,DCGA,192.218615,5.047835,192.218615
L,rush_job,5.0,GA,200.412662,5.040432,200.412662
L,rush_job,5.0,LNS,204.705922,5.066611,204.705922
L,rush_job,5.0,MOEA-NSGA2,200.954889,5.060501,200.954889
L,rush_job,5.0,MOR,213.526372,0.000020,213.526372
L,rush_job,5.0,MachineRank,213.318076,0.000261,213.318076
L,rush_job,5.0,SA,221.271887,5.053216,221.271887
M,breakdown,0.1,B-CORE,79.011724,0.000308,79.011724
M,breakdown,0.1,B-CORE-no-bottleneck,80.926509,0.000265,80.926509
M,breakdown,0.1,B-CORE-no-graph,79.011724,0.000365,79.011724
M,breakdown,0.1,DCGA,92.511548,0.112709,92.511548
M,breakdown,0.1,GA,97.272909,0.114716,97.272909
M,breakdown,0.1,LNS,102.493970,0.113264,102.493970
M,breakdown,0.1,MOEA-NSGA2,93.833761,0.229621,93.833761
M,breakdown,0.1,MOR,100.057937,0.000009,100.057937
M,breakdown,0.1,MachineRank,93.990849,0.000122,93.990849
M,breakdown,0.1,SA,96.690033,0.110648,96.690033
M,breakdown,0.5,B-CORE,79.011724,0.000305,79.011724
M,breakdown,0.5,B-CORE-no-bottleneck,80.926509,0.000313,80.926509
M,breakdown,0.5,B-CORE-no-graph,79.011724,0.000321,79.011724
M,breakdown,0.5,DCGA,86.343836,0.514357,86.343836
M,breakdown,0.5,GA,88.707432,0.513717,88.707432
M,breakdown,0.5,LNS,89.246634,0.511865,89.246634
M,breakdown,0.5,MOEA-NSGA2,90.473519,0.513497,90.473519
M,breakdown,0.5,MOR,100.057937,0.000009,100.057937
M,breakdown,0.5,MachineRank,93.990849,0.000131,93.990849
M,breakdown,0.5,SA,92.051286,0.513425,92.051286
M,breakdown,1.0,B-CORE,79.011724,0.000325,79.011724
M,breakdown,1.0,B-CORE-no-bottleneck,80.926509,0.000314,80.926509
M,breakdown,1.0,B-CORE-no-graph,79.011724,0.000351,79.011724
M,breakdown,1.0,DCGA,81.359717,1.015318,81.359717
M,breakdown,1.0,GA,84.397188,1.013504,84.397188
M,breakdown,1.0,LNS,87.392692,1.012300,87.392692
M,breakdown,1.0,MOEA-NSGA2,84.393312,1.014167,84.393312
M,breakdown,1.0,MOR,100.057937,0.000009,100.057937
M,breakdown,1.0,MachineRank,93.990849,0.000121,93.990849
M,breakdown,1.0,SA,91.114487,1.015521,91.114487
M,breakdown,10.0,B-CORE,79.011724,0.000315,79.011724
M,breakdown,10.0,B-CORE-no-bottleneck,80.926509,0.000318,80.926509
M,breakdown,10.0,B-CORE-no-graph,79.011724,0.000334,79.011724
M,breakdown,10.0,DCGA,72.621161,10.014325,72.621161
M,breakdown,10.0,GA,74.801615,10.011727,74.801615
M,breakdown,10.0,LNS,77.304275,9.383137,77.304275
