scale,event_type,budget_sec,algorithm,n_rows,n_metric_rows,mean,std,median,min,max
M,breakdown,0.5,MachineRank,5,5,93.990849,8.767352,91.939054,85.116127,104.525282
M,breakdown,0.5,SA,5,5,92.051286,12.178759,93.562573,72.111461,105.269336
M,breakdown,1.0,B-CORE,5,5,79.011724,7.085961,77.843280,70.391156,89.799928
M,breakdown,1.0,B-CORE-no-bottleneck,5,5,80.926509,6.737527,77.279019,74.313041,90.086281
M,breakdown,1.0,B-CORE-no-graph,5,5,79.011724,7.085961,77.843280,70.391156,89.799928
M,breakdown,1.0,DCGA,5,5,81.359717,8.130351,84.477439,67.682248,88.053711
M,breakdown,1.0,GA,5,5,84.397188,4.150398,84.844384,79.061357,90.162274
M,breakdown,1.0,LNS,5,5,87.392692,5.394191,87.252022,79.374828,92.865215
M,breakdown,1.0,MOEA-NSGA2,5,5,84.393312,8.970845,86.664626,74.477499,93.982233
M,breakdown,1.0,MOR,5,5,100.057937,4.236875,99.273012,94.580759,106.363740
M,breakdown,1.0,MachineRank,5,5,93.990849,8.767352,91.939054,85.116127,104.525282
M,breakdown,1.0,SA,5,5,91.114487,11.592239,93.057059,72.111461,103.204444
M,breakdown,10.0,B-CORE,5,5,79.011724,7.085961,77.843280,70.391156,89.799928
M,breakdown,10.0,B-CORE-no-bottleneck,5,5,80.926509,6.737527,77.279019,74.313041,90.086281
M,breakdown,10.0,B-CORE-no-graph,5,5,79.011724,7.085961,77.843280,70.391156,89.799928
M,breakdown,10.0,DCGA,5,5,72.621161,7.624115,72.700396,60.404255,79.507951
M,breakdown,10.0,GA,5,5,74.801615,6.407762,76.137478,66.291773,82.648258
M,breakdown,10.0,LNS,5,5,77.304275,8.111443,80.082908,63.074415,83.536560
M,breakdown,10.0,MOEA-NSGA2,5,5,73.535758,6.498329,73.096250,64.250089,81.816864
M,breakdown,10.0,MOR,5,5,100.057937,4.236875,99.273012,94.580759,106.363740
M,breakdown,10.0,MachineRank,5,5,93.990849,8.767352,91.939054,85.116127,104.525282
M,breakdown,10.0,SA,5,5,85.895229,7.806287,89.110553,72.736211,91.431964
M,breakdown,5.0,B-CORE,5,5,79.011724,7.085961,77.843280,70.391156,89.799928
M,breakdown,5.0,B-CORE-no-bottleneck,5,5,80.926509,6.737527,77.279019,74.313041,90.086281
M,breakdown,5.0,B-CORE-no-graph,5,5,79.011724,7.085961,77.843280,70.391156,89.799928
M,breakdown,5.0,DCGA,5,5,75.320454,7.296963,78.430876,64.340393,82.927612
M,breakdown,5.0,GA,5,5,79.569180,8.541017,81.201036,66.687282,89.992114
M,breakdown,5.0,LNS,5,5,78.767463,8.936484,81.391196,63.074415,85.375493
M,breakdown,5.0,MOEA-NSGA2,5,5,77.256190,6.033198,78.162869,67.684377,84.256267
