weight_seed,n_rows,mean_objective,std_objective,coeff_json,component_json,rank,percentile
900156,12,66.781664,15.038508,"{""agv_remaining_ops"": -0.12717460928744193, ""agv_transport"": 0.9384643104197368, ""agv_wait"": 0.12881055534801467, ""machine_alt_gap"": 0.42273321000324887, ""machine_delay"": 0.5115831946949133, ""machine_pressure"": 0.6118334714476282, ""machine_proc"": 0.0, ""machine_queue"": 0.42504943705371073, ""machine_remaining_ops"": -0.2363380295441064, ""machine_remaining_work"": -0.11285980871937135, ""machine_transport"": 0.17732359333528816}","{""bottleneck"": 1.3868587037056546, ""disturbance"": 1.0270692404707122, ""job_urgency"": 0.5678344484618836, ""safety"": 1.3158472348055688, ""transport"": 0.7059022824005611}",1061,53.050000
901354,12,66.782845,15.936778,"{""agv_remaining_ops"": -0.16723984229125097, ""agv_transport"": 0.5918286014914252, ""agv_wait"": 0.31991782634207244, ""machine_alt_gap"": 0.4741506058592581, ""machine_delay"": 0.5129985483355379, ""machine_pressure"": 0.7089835599866963, ""machine_proc"": 0.0, ""machine_queue"": 0.4850933396766161, ""machine_remaining_ops"": -0.2225860147712931, ""machine_remaining_work"": -0.07594545944395023, ""machine_transport"": 0.1274524967078517}","{""bottleneck"": 1.2308039106470876, ""disturbance"": 0.7743675886434477, ""job_urgency"": 1.2902064154588917, ""safety"": 1.0336977896225088, ""transport"": 1.2975000529617133}",1062,53.100000
901067,12,66.791245,15.447043,"{""agv_remaining_ops"": -0.10419732105947013, ""agv_transport"": 1.1549904549630878, ""agv_wait"": 0.3290222648053429, ""machine_alt_gap"": 0.49978927780722454, ""machine_delay"": 0.39039051675121866, ""machine_pressure"": 0.4954613276563292, ""machine_proc"": 0.0, ""machine_queue"": 0.7126340972154429, ""machine_remaining_ops"": -0.14007229335662913, ""machine_remaining_work"": -0.08435839364794114, ""machine_transport"": 0.07901100818872105}","{""bottleneck"": 0.9681508601522378, ""disturbance"": 0.706460676690905, ""job_urgency"": 1.2497909479334717, ""safety"": 0.9872523259086865, ""transport"": 1.0519644875202128}",1063,53.150000
901519,12,66.792699,16.222518,"{""agv_remaining_ops"": -0.1060948487261781, ""agv_transport"": 0.5693504888736243, ""agv_wait"": 0.21289116266690108, ""machine_alt_gap"": 0.5038475087338159, ""machine_delay"": 0.39882615550677186, ""machine_pressure"": 0.3391576411322058, ""machine_proc"": 0.0, ""machine_queue"": 0.7905397366635506, ""machine_remaining_ops"": -0.17992384189836888, ""machine_remaining_work"": -0.1172294240545674, ""machine_transport"": 0.12194151889795259}","{""bottleneck"": 1.1238133794297651, ""disturbance"": 1.159399296805537, ""job_urgency"": 1.304556410623134, ""safety"": 1.2846842776366092, ""transport"": 1.160666540257324}",1064,53.200000
901312,12,66.793402,15.519164,"{""agv_remaining_ops"": -0.15199468879021003, ""agv_transport"": 1.3368222578378772, ""agv_wait"": 0.2059184121764188, ""machine_alt_gap"": 0.26935211496129724, ""machine_delay"": 0.17789484085631335, ""machine_pressure"": 0.6260991053954055, ""machine_proc"": 0.0, ""machine_queue"": 0.62304460503787, ""machine_remaining_ops"": -0.13956508846826124, ""machine_remaining_work"": -0.11792549375565832, ""machine_transport"": 0.15586959617711968}","{""bottleneck"": 1.2664357147104175, ""disturbance"": 1.1201284515554402, ""job_urgency"": 0.5082608637634192, ""safety"": 1.2695588803362883, ""transport"": 0.5718465907889466}",1065,53.250000
901654,12,66.795486,15.538967,"{""agv_remaining_ops"": -0.13352259639012615, ""agv_transport"": 0.8204068441677401, ""agv_wait"": 0.3274483041380624, ""machine_alt_gap"": 0.27588781195055284, ""machine_delay"": 0.3147146895213618, ""machine_pressure"": 0.6719921001442724, ""machine_proc"": 0.0, ""machine_queue"": 0.8151437660428377, ""machine_remaining_ops"": -0.14943138573510786, ""machine_remaining_work"": -0.09991532989741794, ""machine_transport"": 0.11184562350077933}","{""bottleneck"": 0.9793643485003833, ""disturbance"": 0.8281815934279614, ""job_urgency"": 0.749619962678292, ""safety"": 1.094567612349673, ""transport"": 0.767691555157867}",1066,53.300000
900489,12,66.796897,15.764948,"{""agv_remaining_ops"": -0.17493905127418766, ""agv_transport"": 1.2262592679976367, ""agv_wait"": 0.28445320546319475, ""machine_alt_gap"": 0.3854332660048955, ""machine_delay"": 0.3709609184793281, ""machine_pressure"": 0.5858340565448448, ""machine_proc"": 0.0, ""machine_queue"": 0.49305143913558297, ""machine_remaining_ops"": -0.27048248531766406, ""machine_remaining_work"": -0.04902675468850236, ""machine_transport"": 0.1773722471075124}","{""bottleneck"": 1.269851477706444, ""disturbance"": 1.1394229304986134, ""job_urgency"": 1.0525517352154965, ""safety"": 0.7736962677163569, ""transport"": 1.2298278016326711}",1067,53.350000
900564,12,66.796897,15.764948,"{""agv_remaining_ops"": -0.16666418464283195, ""agv_transport"": 1.069202881315689, ""agv_wait"": 0.23858291139735205, ""machine_alt_gap"": 0.33245116248302026, ""machine_delay"": 0.36236141500213853, ""machine_pressure"": 0.4417776321721607, ""machine_proc"": 0.0, ""machine_queue"": 0.7371696996729576, ""machine_remaining_ops"": -0.2225886688839772, ""machine_remaining_work"": -0.06227201297485171, ""machine_transport"": 0.16673172285329263}","{""bottleneck"": 1.3145470434610806, ""disturbance"": 1.4047755987968964, ""job_urgency"": 0.9773227614684504, ""safety"": 0.6738671215869825, ""transport"": 1.109279981642438}",1068,53.400000
900484,12,66.798045,14.266369,"{""agv_remaining_ops"": -0.22139017284929213, ""agv_transport"": 0.9788479944791333, ""agv_wait"": 0.2947809618513862, ""machine_alt_gap"": 0.3075606277276737, ""machine_delay"": 0.4096197792901576, ""machine_pressure"": 0.34005654593084816, ""machine_proc"": 0.0, ""machine_queue"": 0.344818699567866, ""machine_remaining_ops"": -0.1653745459552718, ""machine_remaining_work"": -0.08814092882026107, ""machine_transport"": 0.12196732302068956}","{""bottleneck"": 0.8356376919947851, ""disturbance"": 0.8090442737783559, ""job_urgency"": 1.1385502653243726, ""safety"": 0.926532736438019, ""transport"": 0.5450348677444727}",1069,53.450000
901422,12,66.803959,15.654172,"{""agv_remaining_ops"": -0.21775169635593397, ""agv_transport"": 1.2803960067757854, ""agv_wait"": 0.30595846943145333, ""machine_alt_gap"": 0.32218713321197995, ""machine_delay"": 0.4376985638885961, ""machine_pressure"": 0.5408737550841338, ""machine_proc"": 0.0, ""machine_queue"": 0.6823987303757886, ""machine_remaining_ops"": -0.18777764354485987, ""machine_remaining_work"": -0.11727756135621226, ""machine_transport"": 0.1444134181423498}","{""bottleneck"": 1.4262172186832447, ""disturbance"": 0.7728307491801761, ""job_urgency"": 1.03651534370842, ""safety"": 0.5964800248009595, ""transport"": 0.5747007370633919}",1070,53.500000
