scale,event_type,budget_sec,algorithm,n_rows,n_metric_rows,mean,std,median,min,max
M,mixed,10.0,B-CORE-no-graph,5,5,0.000276,0.000080,0.000229,0.000209,0.000394
M,mixed,10.0,DCGA,5,5,10.015018,0.006107,10.016901,10.004279,10.019253
M,mixed,10.0,GA,5,5,10.013758,0.003395,10.015293,10.009090,10.017537
M,mixed,10.0,LNS,5,5,9.386079,0.355601,9.292826,9.082325,9.926330
M,mixed,10.0,MOEA-NSGA2,5,5,10.011857,0.004473,10.012478,10.006035,10.017386
M,mixed,10.0,MOR,5,5,0.000009,0.000002,0.000010,0.000006,0.000011
M,mixed,10.0,MachineRank,5,5,0.000120,0.000032,0.000133,0.000085,0.000156
M,mixed,10.0,SA,5,5,9.452957,0.641181,9.871004,8.711725,9.973815
M,mixed,5.0,B-CORE,5,5,0.000312,0.000063,0.000323,0.000204,0.000364
M,mixed,5.0,B-CORE-no-bottleneck,5,5,0.000310,0.000057,0.000330,0.000215,0.000363
M,mixed,5.0,B-CORE-no-graph,5,5,0.000308,0.000058,0.000327,0.000208,0.000360
M,mixed,5.0,DCGA,5,5,5.011572,0.003015,5.011609,5.008356,5.015273
M,mixed,5.0,GA,5,5,5.013440,0.004690,5.011873,5.008935,5.019160
M,mixed,5.0,LNS,5,5,5.012547,0.004038,5.014164,5.005772,5.016261
M,mixed,5.0,MOEA-NSGA2,5,5,5.015794,0.004056,5.016896,5.010198,5.019716
M,mixed,5.0,MOR,5,5,0.000011,0.000004,0.000010,0.000006,0.000016
M,mixed,5.0,MachineRank,5,5,0.000120,0.000017,0.000126,0.000091,0.000131
M,mixed,5.0,SA,5,5,5.009101,0.006465,5.012060,5.001068,5.015074
M,rush_job,0.1,B-CORE,5,5,0.000277,0.000061,0.000302,0.000198,0.000331
M,rush_job,0.1,B-CORE-no-bottleneck,5,5,0.000269,0.000055,0.000276,0.000207,0.000335
M,rush_job,0.1,B-CORE-no-graph,5,5,0.000286,0.000065,0.000309,0.000200,0.000354
M,rush_job,0.1,DCGA,5,5,0.109825,0.006239,0.108992,0.102884,0.117521
M,rush_job,0.1,GA,5,5,0.111097,0.002971,0.112638,0.107833,0.114245
M,rush_job,0.1,LNS,5,5,0.113686,0.003495,0.112927,0.110279,0.117644
M,rush_job,0.1,MOEA-NSGA2,5,5,0.222086,0.034553,0.218025,0.177291,0.258382
M,rush_job,0.1,MOR,5,5,0.000010,0.000002,0.000010,0.000008,0.000012
M,rush_job,0.1,MachineRank,5,5,0.000097,0.000055,0.000116,0.000014,0.000155
M,rush_job,0.1,SA,5,5,0.113845,0.001715,0.113308,0.112783,0.116872
M,rush_job,0.5,B-CORE,5,5,0.000328,0.000027,0.000319,0.000303,0.000358
M,rush_job,0.5,B-CORE-no-bottleneck,5,5,0.000281,0.000076,0.000317,0.000191,0.000365
M,rush_job,0.5,B-CORE-no-graph,5,5,0.000330,0.000019,0.000336,0.000305,0.000351
M,rush_job,0.5,DCGA,5,5,0.510256,0.002419,0.511418,0.507224,0.512496
M,rush_job,0.5,GA,5,5,0.510412,0.004173,0.510980,0.506112,0.514706
M,rush_job,0.5,LNS,5,5,0.512508,0.001205,0.512595,0.510666,0.513731
M,rush_job,0.5,MOEA-NSGA2,5,5,0.517194,0.003381,0.516958,0.512203,0.521244
M,rush_job,0.5,MOR,5,5,0.000010,0.000002,0.000010,0.000007,0.000011
M,rush_job,0.5,MachineRank,5,5,0.000094,0.000049,0.000119,0.000014,0.000132
M,rush_job,0.5,SA,5,5,0.515520,0.003127,0.516623,0.510423,0.518630
M,rush_job,1.0,B-CORE,5,5,0.000279,0.000063,0.000301,0.000206,0.000354
M,rush_job,1.0,B-CORE-no-bottleneck,5,5,0.000272,0.000064,0.000272,0.000207,0.000355
M,rush_job,1.0,B-CORE-no-graph,5,5,0.000331,0.000027,0.000326,0.000298,0.000359
M,rush_job,1.0,DCGA,5,5,1.012278,0.003927,1.012544,1.006787,1.017676
M,rush_job,1.0,GA,5,5,1.015535,0.004123,1.015036,1.010436,1.020447
M,rush_job,1.0,LNS,5,5,1.011456,0.004809,1.012865,1.003435,1.015965
M,rush_job,1.0,MOEA-NSGA2,5,5,1.013402,0.004623,1.011155,1.009836,1.020937
M,rush_job,1.0,MOR,5,5,0.000009,0.000002,0.000009,0.000007,0.000011
M,rush_job,1.0,MachineRank,5,5,0.000084,0.000047,0.000090,0.000009,0.000127
M,rush_job,1.0,SA,5,5,1.014035,0.003799,1.013382,1.009315,1.019496
M,rush_job,10.0,B-CORE,5,5,0.000328,0.000017,0.000330,0.000303,0.000350
M,rush_job,10.0,B-CORE-no-bottleneck,5,5,0.000293,0.000055,0.000314,0.000210,0.000347
M,rush_job,10.0,B-CORE-no-graph,5,5,0.000339,0.000028,0.000341,0.000309,0.000381
M,rush_job,10.0,DCGA,5,5,10.011658,0.003656,10.013730,10.007123,10.014838
M,rush_job,10.0,GA,5,5,10.010914,0.006132,10.011914,10.001273,10.016734
M,rush_job,10.0,LNS,5,5,9.216426,0.712863,9.270893,8.258573,9.992320
